#BGS r < 19.45#
# z N/dAdz(1/deg^2)
0.0000 613.55
0.0250 494.22
0.0500 1019.70
0.0750 1640.60
0.1000 1889.10
0.1250 2696.80
0.1500 2741.30
0.1750 2814.20
0.2000 2699.90
0.2250 1949.30
0.2500 2051.90
0.2750 2179.70
0.3000 1730.60
0.3250 1290.40
0.3500 779.55
0.3750 643.99
0.4000 422.44
0.4250 234.44
0.4500 141.55
0.4750 63.55
0.5000 27.33
