#ELG Distribution of ELG targets from DEEP2/EGS 
# from  /global/project/projectdirs/desi/target/analysis/nz_elg/#
# z N/dAdz(1/deg^2)
0.0500 0.00
0.1500 0.00
0.2500 0.00
0.3500 0.00
0.4500 0.00
0.5500 0.00
0.6500 343.78
0.7500 2482.95
0.8500 1958.49
0.9500 2173.94
1.0500 1494.44
1.1500 1471.54
1.2500 1389.58
1.3500 548.99
1.4500 474.36
1.5500 329.26
1.6500 124.67
1.7500 0.00
1.8500 0.00
1.9500 0.00
